"BundledFile","SHA256","OriginalName","RepresentativeSource","SourceCopies","AllSourcePaths"
"B50F5B0110AD--skill_loader.py","B50F5B0110ADAB9C8A41B8F8087841534E73A75F66F1DFBA4DA800ADB3379469","skill_loader.py","D:\Nova_Helios_Collection_2026-08-23\Main-PC\C_drive\Desktop\Nova shit\nova-v9\core\skill_loader.py","1","D:\Nova_Helios_Collection_2026-08-23\Main-PC\C_drive\Desktop\Nova shit\nova-v9\core\skill_loader.py"
"909277A58B85--skill_registry.py","909277A58B8512500E5B72C4EFC9A85861E79064AFB72095C9C7D056D0BA7873","skill_registry.py","D:\Nova_Helios_Collection_2026-08-23\Main-PC\C_drive\Desktop\Nova shit\nova-v9\core\skill_registry.py","1","D:\Nova_Helios_Collection_2026-08-23\Main-PC\C_drive\Desktop\Nova shit\nova-v9\core\skill_registry.py"
"5050A2F4C9F8--skill_mesh.py","5050A2F4C9F82019CBFE877E505081143890C9E671E2981E5D627B07FFFDA812","skill_mesh.py","D:\Nova_Helios_Collection_2026-08-23\Main-PC\C_drive\Desktop\Nova shit\nova-v9\orchestrator\skill_mesh.py","1","D:\Nova_Helios_Collection_2026-08-23\Main-PC\C_drive\Desktop\Nova shit\nova-v9\orchestrator\skill_mesh.py"
"759E967330F0--apex_dag_dispatcher.cpp","759E967330F07CD81EDE90828577A392058AE1506DF0D3D2984CF407545AC201","apex_dag_dispatcher.cpp","D:\Nova_Helios_Collection_2026-08-23\Server-PC\C_drive\Users_WinPro_Desktop_Nova\src\Apex\apex_dag_dispatcher.cpp","2","D:\Nova_Helios_Collection_2026-08-23\Main-PC\C_drive\root\Claude work\src\Apex\apex_dag_dispatcher.cpp | D:\Nova_Helios_Collection_2026-08-23\Server-PC\C_drive\Users_WinPro_Desktop_Nova\src\Apex\apex_dag_dispatcher.cpp"
"634627DA8DF8--apex_dag_dispatcher.h","634627DA8DF8C46FD1E947AE7F06A36DBEBF8E4B1075AFB2908B46DDD101B1BC","apex_dag_dispatcher.h","D:\Nova_Helios_Collection_2026-08-23\Server-PC\C_drive\Users_WinPro_Desktop_Nova\src\Apex\apex_dag_dispatcher.h","2","D:\Nova_Helios_Collection_2026-08-23\Main-PC\C_drive\root\Claude work\src\Apex\apex_dag_dispatcher.h | D:\Nova_Helios_Collection_2026-08-23\Server-PC\C_drive\Users_WinPro_Desktop_Nova\src\Apex\apex_dag_dispatcher.h"
"CC1D11D99184--apex_orchestrator.cpp","CC1D11D99184A754C91F77EA3C0EE917C5364946318D2804077E27046FD96459","apex_orchestrator.cpp","D:\Nova_Helios_Collection_2026-08-23\Server-PC\C_drive\Users_WinPro_Desktop_Nova\src\Apex\apex_orchestrator.cpp","2","D:\Nova_Helios_Collection_2026-08-23\Main-PC\C_drive\root\Claude work\src\Apex\apex_orchestrator.cpp | D:\Nova_Helios_Collection_2026-08-23\Server-PC\C_drive\Users_WinPro_Desktop_Nova\src\Apex\apex_orchestrator.cpp"
"2F606A8317B3--apex_orchestrator.h","2F606A8317B316ADF11ED2A538CE1A56670020FE0FE23B8A3B64332EDFB52049","apex_orchestrator.h","D:\Nova_Helios_Collection_2026-08-23\Server-PC\C_drive\Users_WinPro_Desktop_Nova\src\Apex\apex_orchestrator.h","2","D:\Nova_Helios_Collection_2026-08-23\Main-PC\C_drive\root\Claude work\src\Apex\apex_orchestrator.h | D:\Nova_Helios_Collection_2026-08-23\Server-PC\C_drive\Users_WinPro_Desktop_Nova\src\Apex\apex_orchestrator.h"
"995F2FF4A7F3--apex_react_loop.cpp","995F2FF4A7F3B57602C6985DABB7DAD03C85D0BFE6DFB188433EB10E49187493","apex_react_loop.cpp","D:\Nova_Helios_Collection_2026-08-23\Main-PC\C_drive\root\Claude work\src\Apex\apex_react_loop.cpp","1","D:\Nova_Helios_Collection_2026-08-23\Main-PC\C_drive\root\Claude work\src\Apex\apex_react_loop.cpp"
"A68AF2931247--apex_react_loop.h","A68AF2931247FB37B99372A2F610D5D3251EB5FF272CD69D85B7C157C21BAEE1","apex_react_loop.h","D:\Nova_Helios_Collection_2026-08-23\Main-PC\C_drive\root\Claude work\src\Apex\apex_react_loop.h","1","D:\Nova_Helios_Collection_2026-08-23\Main-PC\C_drive\root\Claude work\src\Apex\apex_react_loop.h"
"61D630648406--apex_result.cpp","61D630648406337C3E448213AFBD9D71784C6C0A18AA5178BAAE2B0F92C7D9B5","apex_result.cpp","D:\Nova_Helios_Collection_2026-08-23\Server-PC\C_drive\Users_WinPro_Desktop_Nova\src\Apex\apex_result.cpp","2","D:\Nova_Helios_Collection_2026-08-23\Main-PC\C_drive\root\Claude work\src\Apex\apex_result.cpp | D:\Nova_Helios_Collection_2026-08-23\Server-PC\C_drive\Users_WinPro_Desktop_Nova\src\Apex\apex_result.cpp"
